ORTSTEIL,GEMEINDE,BUNDESLAND,LAT,LON
Wellendingen (Bonndorf),Bonndorf im Schwarzwald,Baden-Würtemberg,47.79738,8.351
Unterkirchberg,Illerkirchberg,Baden-Würtemberg,48.3393451,10.000594
Steinberg (Staig),Staig,Baden-Würtemberg,48.2996754,10.0020393
Spindelwag,Rot an der Rot,Baden-Würtemberg,47.9976181,10.0043363
Gaggstatt,Kirchberg an der Jagst,Baden-Würtemberg,49.2191429,10.0055782
Laubach (Abtsgmünd),Abtsgmünd,Baden-Würtemberg,48.8922082,10.0068399
Beuren (Isny),Isny im Allgäu,Baden-Würtemberg,47.7376577,10.0100545813
Hauerz,Bad Wurzach,Baden-Würtemberg,47.94436685,10.0124799409
Herlazhofen,Leutkirch im Allgäu,Baden-Würtemberg,47.7952244,10.0202382344
Oberkirchberg (Illerkirchberg),Illerkirchberg,Baden-Würtemberg,48.3233517,10.0204361
Sießen im Wald,Schwendi,Baden-Würtemberg,48.211621,10.021695
Dorndorf (Illerrieden),Illerrieden,Baden-Würtemberg,48.2801901,10.0225031
Roßfeld (Crailsheim),Crailsheim,Baden-Würtemberg,49.1400761,10.0234819
Dewangen,Aalen,Baden-Würtemberg,48.8720564,10.0239522
Weihungszell,Schwendi,Baden-Würtemberg,48.226393,10.0242213
Schmalfelden,Schrozberg,Baden-Würtemberg,49.324613,10.0251299
Hörvelsingen,Langenau,Baden-Würtemberg,48.4858617,10.0306258
Onolzheim,Crailsheim,Baden-Würtemberg,49.1141606,10.0349613
Wiesenbach (Blaufelden),Blaufelden,Baden-Würtemberg,49.2730639,10.0359352
Honhardt,Frankenhardt,Baden-Würtemberg,49.0694167,10.0376115
Münster (Creglingen),Creglingen,Baden-Würtemberg,49.4422122,10.0381978
Reinsbronn,Creglingen,Baden-Würtemberg,49.4971693,10.0425941
Goldbach (Crailsheim),Crailsheim,Baden-Würtemberg,49.0631483,10.0440815
Fachsenfeld,Aalen,Baden-Würtemberg,48.8833092,10.0463405774
Altmannshofen,Aichstetten,Baden-Würtemberg,47.8868464,10.0487862
Neutrauchburg,Isny im Allgäu,Baden-Würtemberg,47.71293795,10.0494170482
Craintal,Creglingen,Baden-Würtemberg,49.4623706,10.0547177
Oberrimbach (Creglingen),Creglingen,Baden-Würtemberg,49.4093124,10.056758
Wangen (Illerrieden),Illerrieden,Baden-Würtemberg,48.2567332,10.0581415
Regglisweiler,Dietenheim,Baden-Würtemberg,48.2420725,10.0585202
Haslach (Rot an der Rot),Rot an der Rot,Baden-Würtemberg,47.9633896,10.0586553
Albeck (Langenau),Langenau,Baden-Würtemberg,48.4836384,10.0593682
Jagstheim,Crailsheim,Baden-Würtemberg,49.0933676,10.0625965
Gröningen (Satteldorf),Satteldorf,Baden-Würtemberg,49.1898307,10.0647566
Wuchzenhofen,Leutkirch im Allgäu,Baden-Würtemberg,47.83359455,10.0661085762
Archshofen (Creglingen),Creglingen,Baden-Würtemberg,49.4542642,10.0688879
Heldenfingen,Gerstetten,Baden-Würtemberg,48.6051373,10.069298
Spielbach (Schrozberg),Schrozberg,Baden-Würtemberg,49.3860438,10.0707291
Waldmannshofen (Creglingen),Creglingen,Baden-Würtemberg,49.5329503,10.0708394
Friesenhofen (Leutkirch),Leutkirch im Allgäu,Baden-Würtemberg,47.7538326,10.071268155
Rötenbach (Friedenweiler),Friedenweiler,Baden-Würtemberg,47.69754,10.07402
Zang,Königsbronn,Baden-Würtemberg,48.7295322,10.0740988
Hinznang,Leutkirch im Allgäu,Baden-Würtemberg,47.770324,10.0753359
Ingersheim an der Jagst,Crailsheim,Baden-Würtemberg,49.123015,10.075863
