name,latitude,longitude
Katalymata ton Plakoton,34.58333,32.94583
Vounaro,34.65963,32.95258
Trachoni,34.65756,32.9653400
Agios Nikolaos,35.0890400,33.8896
Akrotiri,34.60088,32.95536
Vrysoules,35.1,33.88333
Zennor,50.19057,-5.56614
Zelah,50.32332,-5.07897
Zeals,51.08558,-2.3123
Zeal Monachorum,50.82117,-3.81898000
Ythsie,57.366670,-2.18332998
Ystradowen,51.4905605,-3.42194
Ystrad Mynach,51.6427606,-3.2362
Ystrad-Meurig,52.28333,-3.91667
Ystradgynlais,51.76667,-3.76666995
Ystrad-ffin,52.1,-3.76666995
Ystradfellte,51.80897,-3.55299000
Ystalyfera,51.76716,-3.78082
Yspytty-Ystwyth,52.33333,-3.86666996
Ysbyty Ifan,53.01667,-3.73333000
Yspytty Cynfyn,52.4,-3.83333
Yoxford,52.2681900,1.50681
Yoxall,52.76659,-1.79067998
Youlgreave,53.17399,-1.69044000
Yorton,52.80921,-2.73854
York,53.95763,-1.08271
Yokefleet,53.70805,-0.75738
Yockleton,52.6854705,-2.88917
Yiewsley,51.5132605,-0.47297
Yetminster,50.8957900,-2.57959
Yetlington,55.3819,-1.96855999
Yerbeston,51.746,-4.80767
Yeovilton,51.00359,-2.64898
Yeovil,50.9415900,-2.63211
Yeoford,50.7760700,-3.7273
Yelverton,52.5666705,1.36667
Yelverton,50.4929,-4.0838199
Yelvertoft,52.37335,-1.12154
Yelling,52.2462,-0.153209999
Yelford,51.73333,-1.48333
Yelden,52.29299,-0.51584
Yedingham,54.2,-0.61666999
Yeaveley,52.96017,-1.72278
Yearby,54.58042,-1.07254
Yealmpton,50.34856,-3.99876995
Yeadon,53.8643704,-1.68743
Yazor,52.11667,-2.86667
Yaxley,52.5176800,-0.258519997
Yaxley,52.3228,1.11065
Yaxham,52.655670,0.96598
Yatton Keynell,51.48612,-2.19337000
Yatton,51.96667,-2.53333
Yatton,51.38839,-2.82353
Yatesbury,51.44195,-1.90795999
Yate,51.54074,-2.41839
Yarrow,55.51667,-3.05
Yarpole,52.2797200,-2.78134
Yarnton,51.80448,-1.31149
Yarmouth,50.7052900,-1.49929
Yarm,54.5036400,-1.35792999
Yarlington,51.0611,-2.49325
Yardley Hastings,52.2055,-0.73488
Yardley,52.466620,-1.81028
Yarcombe,50.86828,-3.07425
Yarburgh,53.41718,0.0295399997
Yapton,50.8209,-0.613
Yanworth,51.82196,-1.89185999
Yalding,51.22387,0.4292
Yafforth,54.3452606,-1.47357
Wyverstone,52.270509999999994,0.99032999
Wyton,53.7824,-0.217130000
Wyton,52.33333,-0.116670000
Wythenshawe,53.3802706,-2.2654
Wythburn,54.5067800,-3.04278
Wytham,51.77567,-1.30905
Wysall,52.840109,-1.10361
Wraysbury,51.45863,-0.5403
